Metric,Value
Nash-Sutcliffe Efficiency (NSE),0.9998126372120718
Root Mean Square Error (RMSE),3.4883589477652936
R² Score,0.9998126372120718
Relative Bias (%),-0.0008905231096668969
Prediction Error,"369090     2.878054
266627    -0.193017
376545    -0.020249
1516786   -0.088453
397945     3.772570
             ...   
1562133    0.526538
3800      -0.140686
469626     0.508793
334252     0.110939
1464198   -0.402474
Name: SWE, Length: 379600, dtype: float64"
